category,url
foreign-facing orgs,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=&organisations%5B%5D=defence-and-security-accelerator&organisations%5B%5D=defence-and-security-media-advisory-committee&organisations%5B%5D=defence-nuclear-safety-committee&organisations%5B%5D=department-for-exiting-the-european-union&organisations%5B%5D=department-for-international-development&organisations%5B%5D=department-for-international-trade&organisations%5B%5D=department-for-international-trade-defence-and-security-organisation&organisations%5B%5D=fco-services&organisations%5B%5D=foreign-commonwealth-office&organisations%5B%5D=government-partnerships-international&organisations%5B%5D=civil-service-intelligence-analysis-profession&organisations%5B%5D=intelligence-services-commissioner&organisations%5B%5D=ministry-of-defence&organisations%5B%5D=national-counter-terrorism-security-office&organisations%5B%5D=national-cyber-security-centre&organisations%5B%5D=national-security&organisations%5B%5D=secret-intelligence-service&organisations%5B%5D=the-security-service-mi5&organisations%5B%5D=defence-intelligence-and-security-centre&organisations%5B%5D=foreign-compensation-commission&organisations%5B%5D=inquiry-into-the-supervision-of-the-bank-of-credit-and-commerce-international&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
international category,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=37d0fa26-abed-4c74-8835-b3b51ae1c8b2&level_two_taxon=&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
going & being abroad,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=9597c30a-605a-4e36-8bc1-47e5cdae41b3&level_two_taxon=&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
trade & investment,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=495afdb6-47be-4df1-8b38-91c8adb1eefc&level_two_taxon=ed2ca1f7-5463-4eda-9324-b597e269e242&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
brexit,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=d6c2de5d-ef90-45d1-82d4-5f2438369eea&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
cyber security,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=67f50352-bc30-482f-a2d0-a05714e3cea8&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
national security,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=8a98b827-82ad-49b4-819e-82c208c551c4&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
sustainable development,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=3894b4d1-bb7f-4c3d-a680-c904ccabd91e&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
Europe,https://www.gov.uk/search/news-and-communications?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=3afd1d79-597d-4f97-bc7a-83766dcab2f4&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
international statistics,https://www.gov.uk/government/statistics?keywords=&taxons%5B%5D=37d0fa26-abed-4c74-8835-b3b51ae1c8b2&departments%5B%5D=all&from_date=&to_date=
fco statistics,https://www.gov.uk/government/statistics?keywords=&taxons%5B%5D=e48ab80a-de80-4e83-bf59-26316856a5f9&departments%5B%5D=foreign-commonwealth-office&from_date=&to_date=
mod statistics,https://www.gov.uk/government/statistics?keywords=&taxons%5B%5D=e48ab80a-de80-4e83-bf59-26316856a5f9&departments%5B%5D=ministry-of-defence&from_date=&to_date=
dfid stats,https://www.gov.uk/government/statistics?keywords=&taxons%5B%5D=e48ab80a-de80-4e83-bf59-26316856a5f9&departments%5B%5D=department-for-international-development&from_date=&to_date=
dit stats,https://www.gov.uk/government/statistics?keywords=&taxons%5B%5D=e48ab80a-de80-4e83-bf59-26316856a5f9&departments%5B%5D=department-for-international-trade&from_date=&to_date=
international consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=37d0fa26-abed-4c74-8835-b3b51ae1c8b2&level_two_taxon=&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
brexit consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=d6c2de5d-ef90-45d1-82d4-5f2438369eea&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
cyber security consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=67f50352-bc30-482f-a2d0-a05714e3cea8&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
democracy consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=95d06252-5d75-42fb-9c5c-038ab6b482e4&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
natsec consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=8a98b827-82ad-49b4-819e-82c208c551c4&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
europe consultations,https://www.gov.uk/search/policy-papers-and-consultations?parent=&keywords=&level_one_taxon=e48ab80a-de80-4e83-bf59-26316856a5f9&level_two_taxon=3afd1d79-597d-4f97-bc7a-83766dcab2f4&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
trade & inv consultations,https://www.gov.uk/search/policy-papers-and-consultations.atom?parent=&keywords=&level_one_taxon=495afdb6-47be-4df1-8b38-91c8adb1eefc&level_two_taxon=ed2ca1f7-5463-4eda-9324-b597e269e242&content_store_document_type%5B%5D=policy_papers&content_store_document_type%5B%5D=open_consultations&content_store_document_type%5B%5D=closed_consultations&public_timestamp%5Bfrom%5D=&public_timestamp%5Bto%5D=&order=updated-newest
